,弹幕
595,bgm是啥呢
596,现在又知道说人家拐弯抹角了？之前不知道谁说人家没有城府
597,汉妃
598,哈哈哈哈
599,哈克
600,建议申遗
601,考语。。。
602,剑桥五杰
603,剑桥五杰
604,ym是什么意思
605,半步ym治天下
606,开始了
607,半部ym治天下
608,1987
609,000000
610,绝命毒师就没烂尾
611,................................................................
612,1.25
613,华为商标？？？？
614,我爱我家了解一下？
615,波莱罗！
616,好年轻啊
617,哦~~~
618,三连了
619,bgm是什么？
620,hahah
621,？？？
622,半部英劇治天下
623,人类四大文化遗产
624,这个句子专八能不能盲听下来
625,悍匪
626,剑桥四杰今何在？
627,分的细那是因为分封的领地多
628,对
629,你跟木鱼啥关系 你们声音太像了
630,抽象工厂笑死我了老java了
631,yes and no的精分，也是精髓
632,就是这个掩盖了你的过失。。。
633,比隔壁那个解说的好多了
634,奸奇·万变之主：很好，小伙子说的不错
635,你来决定所有的大事，我来决定什么算大事
636,真有这个部门那就厉害了
637,都是抄的破烂熊的字幕，又不是自己翻译的
638,嗦嘎
639,话说汉弗莱在牛津也是尖子生
640,呆瓜阿普比
641,"US not united,GB not great"
642,演
643,哈克刚开始真的菜的抠脚
644,流水的大臣
645,两万三千人的小部门
646,汉妃，我的汉妃
647,英气逼人
648,别只看啊，请用脑子想和反思
649,我去这操作可以
650,野村直邦给你 点赞
651,这个就叫专业
652,菜鸟大臣
653,伯纳也是高级公务员，受汉弗莱和哈克双重领导。
654,特别像清朝的师爷，师爷负责具体事物
655,击剑的朋友
656,有更好的办么
657,经典专业不对口
658,两百多秘书，就一个干活的
659,两万多人一个部门？
660,这里伯纳德看着还有点秀气 首相里也老了
661,信息不对称性
662,经典专业不对口
663,up主感冒了？声音好奇怪
664,这话术
665,就是伯纳德把汉皮送进精神病院的吧
666,司礼监
667,什么人当政客都可以，文官必须剑桥
668,川宝口中的影子政府就是这些人吧
669,咦，常任秘书不用迎接大臣吗
670,god call me god
671,这up的吐字...加油吧
672,他不是牛津大学贝利学院的吗？
673,美国逆子！
674,废话开始了
675,官僚朋克
676,就是借鉴了中国古代文官制服
677,阿诺德什么学校的
678,这个up主不能听着睡 离开字幕听不懂..
679,天国的比这复杂一万倍
680,解说有水平
681,安妮夫人的照片还是黑白的。。
682,没啥活不下去的，只要会妥协就能活
683,这不是蠢是天真
684,巨佬好
685,肥皂剧真的很神经质
686,大家好我叫冯正淳
687,哈哈哈哈哈哈哈 弹幕都是好学生
688,干得好
689,靠，你早说呀！我还暂停捋了半天。
690,职业病
691,司礼监掌印太监的确被称为内相啊
692,这分得都成了渣了
693,在箱子的最下面
694,情人节发合集
695,英国当时奉行苏美冷战两败俱伤 然后自己从中获利 只不过苏美联手把英法殖民体系肢解了 但英法也不是傻子 英法当时的精英也知道没了苏联下一个完蛋的就是自己
696,司礼监掌印太监
697,提问哈克将会有多少个秘书
698,BGM:波莱罗
699,我还是觉得“赵孟之所贵，赵孟能贱之”翻译比较好。圣经对孟子，耶和华对赵孟
700,BGM：波莱罗舞曲
701,有点像古代皇帝，一群宦官忽悠着做事，
702,行政事物部不是内政部，你看圣诞特辑就知道了
703,傻瓜版
704,up的口音有点奇怪
705,这很正常啊 你是在野上任的，人家一直干活的，想一下就能理解了
706,西方才主导几百年啊，就这么没骨气
707,哈克松了一口气2333
708,情报就是招人串闲话
709,？
710,经典捧杀
711,创造性懒惰
712,那表情应该是察觉到了吧
713,对
714,半部YM治天下，一个汉妃掌全球
715,博纳不是剑桥牛津都读过吗
716,上当了
717,时至今日 大部分笑点都没有过时
718,，
719,不要简单跟中国传统的官和吏相比 传统的官也是由皇帝任命而非党派轮换
720,第一季第一集的汉妃真的是狠狠惊艳了我
721,有的观众根本看不懂政治剧，有的观众看懂了但不认同，剩下的本来就是反政府的。
722,傻了……
723,我要把我的币都给你
724,up速度有点慢啊，，，，
725,最难得部分就在封面上
726,但是汉妃很方案撒切尔，所以 啧啧啧
727,剑桥五杰（异性吸引对他们不足），汉妃：我毕业于牛津，而且我有家室
728,博纳地位比汉弗莱低很多，受他节制。汉妃在与首相秘书聊天，让博纳自己拖椅子，自己到咖啡，地位一览无余
729,政治不是这么玩的
730,政治家和政党是一体的，官吏是另外一体的，政治家和政党会变动，但是官吏是终身任职
731,.
732,p
733,抖音看到的，跑过来一搜找到了
734,书都是他监督的……
735,哈克前任想干的事情。。。
736,不就是吏与官吗
737,然而并没有什么改变
738,师傅别念了
739,666
740,难怪堂堂的大臣看起来那么傻
741,韩国
742,全球都这样吧
743,只拍污，me too
744,让我想到古代那些县令上任，被县衙班子架空
745,同理，朴实的商人
