,词语,次数
1440,总成绩,1
1441,好玩,5
1442,困扰,1
1443,7,4
1444,自闭,2
1445,10,7
1446,minecraft,2
1447,？？,7
1448,再说,1
1449,90100,1
1450,一两,2
1451,一两个,1
1452,总分,1
1453,一左,2
1454,无奈,1
1455,四,2
1456,难搞,1
1457,三,42
1458,连了,1
1459,！！？,2
1460,是因为,3
1461,期末考,2
1462,期末考试,1
1463,来不及,3
1464,元,3
1465,素,2
1466,……？？,1
1467,61,4
1468,听天由命,1
1469,2024,3
1470,广东,3
1471,合理,1
1472,甲,1
1473,初中语文,1
1474,一回,2
1475,回事,3
1476,不行,30
1477,赢,1
1478,微点,1
1479,祝,1
1480,好运,2
1481,律,2
1482,子,8
1483,无敌,1
1484,打卡,28
1485,＋,3
1486,还好,5
1487,还要,4
1488,谁,16
1489,月,5
1490,阿婆,1
1491,niu,1
1492,弹幕,8
1493,裸,1
1494,横,1
1495,满足,5
1496,冲到,1
1497,到期,1
1498,期中,1
1499,巧,2
1500,文说,1
1501,说实话,4
1502,实话,4
1503,可,7
1504,无,3
1505,涂,2
1506,书,8
1507,三害,1
1508,有没有,5
1509,本来,1
1510,85,4
1511,表白,2
1512,误区,2
1513,佛,1
1514,它,3
1515,x,1
1516,求教,1
1517,Bgm,2
1518,sans,2
1519,✓,2
1520,天赋,2
1521,好巧,2
1522,妈,7
1523,粉,5
1524,政治,1
1525,治好,1
1526,难度,3
1527,一些,3
1528,哦,16
1529,看看,6
1530,真是,4
1531,刚,9
1532,o,4
1533,(￣▽￣)ｄ,2
1534,厚,1
1535,[,5
1536,],5
1537,草,76
1538,目标,1
1539,21,2
1540,今年,4
1541,复读,1
1542,目前,4
1543,内,1
1544,笔,1
1545,麻木,1
1546,剪,3
1547,毕业,2
1548,MD,1
1549,写错,1
1550,不应,2
1551,该是,6
1552,紧,1
1553,元素,3
1554,比数,1
1555,面前,7
1556,19,5
1557,150,1
1558,55,3
1559,动,3
1560,了了,2
1561,电,16
1562,音,18
1563,赶不上,1
1564,兄弟,7
1565,极度,1
1566,瑟瑟,2
1567,走,12
1568,91,1
1569,无所,1
1570,无所谓,1
1571,所谓,1
1572,高一上,1
1573,一上,2
1574,上期,1
1575,98,1
1576,woc,2
1577,C418,1
1578,wait,1
1579,13,1
1580,吵,1
1581,何来,1
1582,翻过,1
1583,一两分,1
1584,mc,1
1585,客观,1
1586,心酸,1
1587,同感,1
1588,别,45
1589,92,1
1590,不求,1
1591,108,1
1592,本能,1
1593,uanxinzhege,1
1594,wotebieg,1
1595,上海,2
1596,112,1
1597,默问,1
1598,±,2
1599,教辅,1
1600,鼓掌,1
1601,144,1
1602,………………,1
1603,过度,1
1604,天津,2
1605,46,1
1606,七个,1
1607,绷,1
1608,空降,2
1609,30,7
1610,卡死,1
1611,咋办,9
1612,重开,2
1613,真不,4
1614,想用,2
1615,107,2
1616,情况,2
1617,辅,1
1618,准,4
1619,yes,2
1620,好好看,7
1621,好看,19
1622,迫,1
1623,谢,2
1624,允,1
1625,老婆,6
1626,正式,1
1627,不语,1
1628,四十,4
1629,四十多,2
1630,了解,5
1631,一下,17
1632,实验,6
1633,实验班,1
1634,普通班,1
1635,呵呵,8
1636,心声,1
1637,72,3
1638,降成,1
1639,成功,1
1640,凌,1
1641,乱,2
1642,报告,1
1643,小字,1
1644,投币,1
1645,语文学,1
1646,前来,2
1647,报到,1
1648,96,1
1649,114,2
1650,开学,2
1651,113,2
1652,116,1
1653,辛苦,1
1654,凌乱,1
1655,wyb,1
1656,李云龙,1
1657,云龙,1
1658,神,7
1659,驾到,1
1660,词,1
1661,学步,1
1662,学步车,1
1663,怎,1
1664,？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？,1
1665,学姐,6
1666,分享,2
1667,………,1
1668,护,1
1669,体,8
1670,69,2
1671,牛哇,2
1672,真不错,1
1673,跑,14
1674,成本,1
1675,109,1
1676,jb135,1
1677,？。,1
1678,适用,1
1679,猝,1
1680,53,2
1681,难道,1
1682,不对,6
1683,莫名,2
1684,莫名其妙,1
1685,资源,2
1686,资源库,2
1687,115,1
1688,提升,1
1689,下载,3
1690,131,1
1691,WC,1
1692,不能不,1
1693,138,2
1694,练字,1
1695,3,10
1696,猫头,1
1697,们,8
1698,红红,6
1699,红红火火,6
1700,红火,6
1701,火,6
1702,恍恍惚惚,6
1703,恍惚,6
1704,惚,6
1705,？？。,1
1706,恭迎,1
1707,c418,1
1708,666,33
1709,83,3
1710,经典,20
1711,76,1
1712,生,22
1713,配,1
1714,薛,1
1715,金星,1
1716,yyds,4
1717,124,1
1718,温柔,12
1719,币,4
1720,yi,1
1721,记得,8
1722,102,1
1723,OKOKOK,1
1724,没了,6
1725,101,1
1726,同种,3
1727,电荷,4
1728,相互,3
1729,排斥,7
1730,数学老师,28
1731,速,1
1732,惊人,1
1733,光明,1
1734,光明正大,1
1735,正大,1
1736,使用,11
1737,伏,8
1738,红,1
1739,惠,8
1740,黑,9
1741,就读,1
1742,课本,12
1743,本原,2
1744,原画,1
1745,禁止,8
1746,瓜,7
1747,表演,3
1748,霍,2
1749,沃,1
1750,茨,1
1751,使,4
1752,漂浮,2
1753,空中,4
1754,骗人,1
1755,魔术,3
1756,魔术师,1
1757,静电,7
1758,章鱼,7
1759,对数,3
1760,向上,2
1761,排斥力,3
1762,斥力,3
1763,忽地,1
1764,想起,2
1765,刻,2
1766,树人,1
1767,三维,2
