,词语,次数
1150,稀疏,1
1151,专科,4
1152,三年,7
1153,三年级,2
1154,年纪,2
1155,初中,2
1156,初中生,1
1157,今天,11
1158,天开,3
1159,初学,9
1160,奥利,1
1161,何人,1
1162,真大,2
1163,变得,1
1164,越来,2
1165,越来越,2
1166,抽象,5
1167,他,25
1168,本站,1
1169,概念,3
1170,阿婆,1
1171,好听,4
1172,磁性,1
1173,让,19
1174,下去,6
1175,欲望,1
1176,记下,2
1177,记下来,2
1178,下来,8
1179,听起,5
1180,无聊,2
1181,公告,1
1182,面有,2
1183,群,2
1184,兴趣,2
1185,哦,4
1186,~~,1
1187,身份,1
1188,大于,2
1189,投币,3
1190,转发,1
1191,里,9
1192,宅,2
1193,男,4
1194,之,10
1195,光,7
1196,吵架,1
1197,没,25
1198,不重,2
1199,重要,7
1200,github,1
1201,网站,2
1202,神经,2
1203,神经网,2
1204,神经网络,2
1205,网络,7
1206,黑箱,1
1207,心理,1
1208,心理学,1
1209,理学,1
1210,走过,1
1211,脑子里,1
1212,一张,2
1213,线路,1
1214,线路图,1
1215,觉得,13
1216,可能,10
1217,看不下去,2
1218,不下,6
1219,假,1
1220,模型,3
1221,似乎,1
1222,不多,7
1223,報,1
1224,道,3
1225,deep,1
1226,貌似,1
1227,course,2
1228,上有,2
1229,UP,6
1230,本人,4
1231,大爷,1
1232,20200214,1
1233,情人,1
1234,情人节,1
1235,呗,5
1236,告诉,8
1237,很多,13
1238,logit,1
1239,probability,1
1240,odds,1
1241,ratio,1
1242,进来,3
1243,膜,2
1244,精,4
1245,打扰,1
1246,大部,2
1247,大部分,2
1248,部分,12
1249,哎,1
1250,~~~,1
1251,野生,10
1252,生字,7
1253,字幕组,5
1254,有声,3
1255,孩子,1
1256,带来,1
1257,帮助,6
1258,参加,1
1259,各位,10
1260,藏量,1
1261,离谱,5
1262,入党,1
1263,流程,3
1264,毕业论文,1
1265,论文,1
1266,要用,1
1267,C++,46
1268,噩,1
1269,开,7
1270,始,1
1271,地,2
1272,方,2
1273,活着,2
1274,摸鱼,9
1275,从未,3
1276,停止,2
1277,轻而易举,6
1278,咸鱼,4
1279,梦想,1
1280,底部,2
1281,那么,15
1282,并且,6
1283,每个,9
1284,阶段,39
1285,过后,11
1286,相关,6
1287,案例,18
1288,巩固,6
1289,所学,6
1290,学到,19
1291,知识,11
1292,知识点,6
1293,挂,5
1294,科,10
1295,补救,1
1296,从,43
1297,转行,8
1298,除了,5
1299,项目,4
1300,经学,2
1301,完,43
1302,放弃,18
1303,第二部,1
1304,二部,1
1305,c++,42
1306,核心,3
1307,编程,28
1308,算了,2
1309,寝室,1
1310,偷偷,2
1311,内卷,3
1312,想成,1
1313,成为,6
1314,黑马,9
1315,亚洲,1
1316,潮流,1
1317,大作,5
1318,作业,19
1319,管理,8
1320,管理系,5
1321,管理系统,5
1322,奔波,1
1323,下载,10
1324,载到,1
1325,卸载,1
1326,自学,14
1327,c,50
1328,指针,4
1329,高级,18
1330,零,2
1331,鸡雏,1
1332,挨,4
